Sample_id,Amino acid metabolism,Carbohydrate metabolism,Carbon fixation pathways in prokaryotes,Carbon fixation pathways,Cell growth and death,Energy metabolism,Lipid metabolism ,Metabolism of cofactors and vitamins,metabolism,Methane metabolism,Nucleotide metabolism,Sulfur Metabolism
G34369,0.86,0.81,0.63,0.53,0.69,0.66,0.65,0.86,0.78,0.73,0.84,0.82
G34393,0.88,0.83,0.35,0.28,0.71,0.68,0.7,0.84,0.8,0.73,0.88,0.83
G34402,0.85,0.81,0.47,0.71,0.67,0.74,0.66,0.87,0.79,0.73,0.84,0.8
G34415,0.86,0.81,0.45,0.73,0.68,0.76,0.67,0.86,0.8,0.74,0.85,0.82
G34421,0.86,0.81,0.52,0.8,0.7,0.77,0.67,0.88,0.8,0.73,0.86,0.83
G34430,0.87,0.81,0.67,0.87,0.72,0.79,0.68,0.89,0.8,0.66,0.87,0.85
G34450,0.88,0.8,0.68,0.85,0.7,0.78,0.68,0.88,0.8,0.62,0.86,0.83
G34458,0.87,0.81,0.69,0.85,0.7,0.79,0.68,0.89,0.8,0.71,0.86,0.83
G34473,0.87,0.8,0.51,0.82,0.72,0.79,0.68,0.88,0.8,0.75,0.85,0.85
G34481,0.87,0.8,0.54,0.78,0.68,0.78,0.67,0.89,0.8,0.7,0.86,0.84
G34499,0.87,0.8,0.43,0.76,0.68,0.76,0.69,0.88,0.8,0.71,0.85,0.82
